year,state,cause,sum(deaths)
1999,South Carolina,Suicide,418
2002,Nebraska,Influenza and pneumonia,418
2013,South Dakota,Stroke,418
2011,Delaware,Stroke,418
2009,South Dakota,Stroke,418
2002,Colorado,Kidney disease,417
2010,Oregon,Influenza and pneumonia,417
2004,South Dakota,Unintentional injuries,416
2007,Rhode Island,Unintentional injuries,416
2013,South Dakota,CLRD,416
2007,Idaho,Alzheimer's disease,416
2010,South Dakota,Stroke,416
2009,Delaware,Stroke,415
2003,Hawaii,Unintentional injuries,415
2012,Montana,Stroke,415
2012,Arizona,Kidney disease,414
2014,Maine,Diabetes,414
2010,New Mexico,Suicide,413
2013,Utah,Influenza and pneumonia,413
2013,Utah,Alzheimer's disease,412
2013,Delaware,Unintentional injuries,412
2011,Nevada,Kidney disease,412
2011,South Dakota,Unintentional injuries,411
2012,Utah,Alzheimer's disease,411
2000,Nebraska,Diabetes,411
2001,Utah,Influenza and pneumonia,411
2005,Delaware,CLRD,411
2007,South Dakota,Stroke,410
2011,North Dakota,Alzheimer's disease,410
2012,Mississippi,Suicide,410
2003,Nevada,Influenza and pneumonia,410
2010,Idaho,Alzheimer's disease,410
2014,Idaho,Diabetes,409
2011,Idaho,Alzheimer's disease,409
2008,Utah,Alzheimer's disease,409
2003,Colorado,Kidney disease,409
2008,Mississippi,Suicide,409
2013,Delaware,Stroke,409
2015,Oregon,Kidney disease,409
2007,West Virginia,Influenza and pneumonia,408
2012,South Dakota,Stroke,408
2007,Nevada,Influenza and pneumonia,408
2015,Maine,Diabetes,407
2005,Idaho,Alzheimer's disease,407
2003,Delaware,Stroke,407
2014,Iowa,Suicide,407
2000,Maine,Unintentional injuries,407
2010,Delaware,Stroke,407
2003,Nebraska,Diabetes,407
2008,Hawaii,Unintentional injuries,406
2004,Colorado,Kidney disease,406
2003,South Dakota,Unintentional injuries,406
2002,West Virginia,Alzheimer's disease,405
2003,New Hampshire,Unintentional injuries,405
2002,Delaware,Stroke,405
2012,Delaware,Stroke,404
2002,Maine,Diabetes,404
2011,Rhode Island,Stroke,404
1999,Nevada,Suicide,404
2013,Idaho,Diabetes,404
2014,Rhode Island,Alzheimer's disease,403
2015,Idaho,Diabetes,403
2009,South Dakota,Alzheimer's disease,403
2007,Arkansas,Suicide,402
2008,South Dakota,Alzheimer's disease,402
2005,South Dakota,Unintentional injuries,402
2011,Utah,Alzheimer's disease,402
2004,Nevada,Influenza and pneumonia,402
2013,Maine,Alzheimer's disease,401
2010,Kansas,Suicide,401
2007,New Mexico,Suicide,401
2016,District of Columbia,Unintentional injuries,401
2011,Oregon,Influenza and pneumonia,401
2000,Nevada,Suicide,400
2010,Oregon,Kidney disease,400
2015,Wyoming,Unintentional injuries,400
2001,Nebraska,Diabetes,400
2011,Nevada,Diabetes,400
2005,Arkansas,Suicide,400
2006,Idaho,Alzheimer's disease,400
2016,Rhode Island,Stroke,399
2001,Maine,Diabetes,398
2001,West Virginia,Alzheimer's disease,398
2001,New Mexico,Influenza and pneumonia,398
2016,Oregon,Kidney disease,398
2003,Maine,Diabetes,398
2010,South Dakota,Alzheimer's disease,398
2008,Oregon,Kidney disease,397
2016,Connecticut,Suicide,397
2015,Nebraska,Influenza and pneumonia,397
2013,Rhode Island,Stroke,397
2014,New Hampshire,Alzheimer's disease,396
2010,New Hampshire,Alzheimer's disease,396
2007,Mississippi,Suicide,396
2008,South Dakota,Stroke,396
2004,Nebraska,Diabetes,395
2011,New Hampshire,Alzheimer's disease,395
2011,Arizona,Kidney disease,395
2007,North Dakota,Alzheimer's disease,395
2011,Kansas,Suicide,394
2015,Rhode Island,Stroke,394
2012,Hawaii,Influenza and pneumonia,394
2003,Rhode Island,Unintentional injuries,393
2007,Utah,Alzheimer's disease,393
2010,South Dakota,Unintentional injuries,393
2008,Idaho,Alzheimer's disease,393
2014,Utah,Kidney disease,393
2002,Hawaii,Unintentional injuries,393
2011,Idaho,Diabetes,393
2002,Nebraska,Diabetes,393
2008,New Hampshire,Alzheimer's disease,393
2012,New Hampshire,Alzheimer's disease,392
2004,South Dakota,CLRD,391
1999,Utah,Influenza and pneumonia,391
2001,West Virginia,Kidney disease,391
2001,Colorado,Kidney disease,391
2008,Utah,Suicide,390
2006,Utah,Alzheimer's disease,390
2004,Hawaii,Unintentional injuries,390
1999,Kansas,Kidney disease,390
2011,Mississippi,Suicide,389
2000,Utah,Influenza and pneumonia,388
2013,Mississippi,Suicide,388
2015,Alaska,Unintentional injuries,388
2010,Mississippi,Suicide,388
2000,Massachusetts,Suicide,387
2009,Oregon,Kidney disease,387
2013,Wyoming,CLRD,387
2001,Nevada,Suicide,387
2005,Maine,Diabetes,385
2012,Nevada,Kidney disease,385
2011,Alaska,Unintentional injuries,385
2006,Delaware,Stroke,384
2004,Utah,Influenza and pneumonia,384
2005,Delaware,Stroke,384
2015,Connecticut,Suicide,384
2002,South Dakota,CLRD,383
2001,Delaware,Stroke,383
2012,Iowa,Suicide,383
2015,South Dakota,Stroke,383
2000,South Dakota,CLRD,383
2016,Mississippi,Suicide,383
2004,Maine,Diabetes,382
2001,Arkansas,Suicide,382
2010,North Dakota,Stroke,382
2012,Oregon,Influenza and pneumonia,382
2007,Kansas,Suicide,382
2001,South Dakota,Unintentional injuries,382
2009,Kansas,Suicide,382
2009,Mississippi,Suicide,381
2008,South Dakota,Unintentional injuries,381
2005,Vermont,CLRD,381
2012,Maine,Diabetes,380
2008,Iowa,Suicide,380
2014,Mississippi,Suicide,380
2016,Utah,Influenza and pneumonia,380
2014,Connecticut,Suicide,379
2006,Kansas,Suicide,379
2014,Alaska,Unintentional injuries,379
2007,Delaware,CLRD,379
2003,South Dakota,CLRD,379
2000,West Virginia,Kidney disease,378
2007,Utah,Suicide,378
2014,Oregon,Kidney disease,378
2009,Nevada,Diabetes,377
2004,Utah,Suicide,377
2002,Arkansas,Suicide,377
2006,Arkansas,Suicide,376
2014,New Mexico,Influenza and pneumonia,376
2005,New Hampshire,Alzheimer's disease,376
2010,Maine,Diabetes,376
2014,Idaho,Alzheimer's disease,376
2004,Utah,Alzheimer's disease,376
2001,Nevada,Kidney disease,376
2009,New Mexico,Suicide,376
2006,South Dakota,CLRD,376
2015,North Dakota,Alzheimer's disease,376
2016,Idaho,Diabetes,375
2010,Utah,Alzheimer's disease,375
2013,Arizona,Kidney disease,374
1999,New Mexico,Influenza and pneumonia,374
2007,Delaware,Stroke,374
2012,Delaware,Unintentional injuries,374
2003,Arkansas,Suicide,374
2001,New Hampshire,Unintentional injuries,374
2014,Rhode Island,Stroke,373
2009,New Mexico,Alzheimer's disease,373
2008,Nevada,Diabetes,373
2012,New Mexico,Alzheimer's disease,373
2013,Maine,Diabetes,373
1999,Nebraska,Diabetes,372
2002,Nevada,Kidney disease,372
2010,Iowa,Suicide,372
2002,New Mexico,Influenza and pneumonia,372
2015,Utah,Influenza and pneumonia,372
2001,Hawaii,Unintentional injuries,372
2009,Idaho,Diabetes,372
2016,Vermont,Unintentional injuries,372
2006,New Hampshire,Alzheimer's disease,372
2009,Utah,Alzheimer's disease,371
2012,Idaho,Diabetes,371
2016,Wyoming,Unintentional injuries,371
2016,North Dakota,Unintentional injuries,371
2011,Connecticut,Suicide,370
2013,Nevada,Kidney disease,370
2016,Utah,Kidney disease,370
2005,Nebraska,Influenza and pneumonia,370
2004,Kansas,Suicide,370
2013,Iowa,Kidney disease,369
2003,New Mexico,Influenza and pneumonia,369
2009,Idaho,Alzheimer's disease,369
2015,Wyoming,CLRD,368
2005,Utah,Alzheimer's disease,368
2002,Nevada,Influenza and pneumonia,368
2012,Alaska,Unintentional injuries,368
2015,North Dakota,Unintentional injuries,368
2012,Connecticut,Suicide,368
2005,North Dakota,Stroke,368
2009,New Hampshire,Alzheimer's disease,367
2007,South Dakota,Unintentional injuries,366
2008,New Mexico,Alzheimer's disease,366
2014,Utah,Influenza and pneumonia,366
2008,Nebraska,Influenza and pneumonia,366
2010,Alaska,Unintentional injuries,366
2009,North Dakota,Alzheimer's disease,366
2014,Nevada,Kidney disease,365
2008,Delaware,Stroke,365
1999,Delaware,Stroke,365
2012,North Dakota,Alzheimer's disease,364
2012,Vermont,CLRD,364
2014,North Dakota,Alzheimer's disease,364
2009,Vermont,CLRD,364
2013,North Dakota,Alzheimer's disease,363
2015,Utah,Kidney disease,363
2005,Mississippi,Suicide,363
2005,Kansas,Suicide,362
2001,South Dakota,CLRD,362
2006,Utah,Suicide,362
2016,West Virginia,Suicide,362
2001,New Mexico,Suicide,362
2009,Iowa,Suicide,361
2000,West Virginia,Alzheimer's disease,361
2016,North Dakota,Alzheimer's disease,361
2004,Arkansas,Suicide,361
2014,Wyoming,Unintentional injuries,361
2010,North Dakota,Alzheimer's disease,361
2003,New Mexico,Alzheimer's disease,360
2008,Rhode Island,Alzheimer's disease,359
2014,West Virginia,Suicide,359
2015,Idaho,Suicide,359
2003,Idaho,Diabetes,358
2011,Utah,Influenza and pneumonia,358
2000,Maine,Diabetes,357
2015,Vermont,CLRD,357
2000,Colorado,Kidney disease,357
2002,New Hampshire,Unintentional injuries,357
2010,Delaware,Unintentional injuries,357
2012,Nevada,Alzheimer's disease,356
2010,North Dakota,CLRD,356
2008,Idaho,Diabetes,356
2004,New Mexico,Suicide,356
1999,Mississippi,Alzheimer's disease,356
2008,North Dakota,CLRD,355
2011,New Mexico,Influenza and pneumonia,355
2003,Idaho,Alzheimer's disease,355
2007,Maine,Diabetes,355
2016,Vermont,CLRD,355
2012,Idaho,Alzheimer's disease,354
2007,Alaska,Unintentional injuries,354
2006,New Mexico,Influenza and pneumonia,353
2013,Alaska,Unintentional injuries,353
2013,Vermont,CLRD,353
2005,New Mexico,Influenza and pneumonia,353
2010,Connecticut,Suicide,353
2006,Oregon,Kidney disease,353
2010,Idaho,Diabetes,353
2000,Nebraska,Alzheimer's disease,353
2016,New Mexico,Influenza and pneumonia,353
2011,Maine,Diabetes,353
2005,Maine,Influenza and pneumonia,352
2003,Iowa,Suicide,352
2006,New Mexico,Suicide,352
2008,Delaware,Unintentional injuries,352
2001,Nevada,Influenza and pneumonia,352
2013,Vermont,Unintentional injuries,352
2016,Iowa,Kidney disease,352
2015,North Dakota,CLRD,351
1999,South Dakota,Unintentional injuries,351
2013,New Hampshire,Alzheimer's disease,351
2008,Wyoming,Unintentional injuries,351
2014,Nebraska,Influenza and pneumonia,351
2008,New Mexico,Influenza and pneumonia,351
2016,Idaho,Suicide,351
2014,Nevada,Diabetes,350
2009,Maine,Diabetes,350
2004,Mississippi,Suicide,350
2010,Nevada,Diabetes,350
2004,Delaware,Stroke,350
2002,Delaware,CLRD,350
2011,Nevada,Alzheimer's disease,349
2009,South Dakota,Unintentional injuries,349
2002,New Mexico,Suicide,349
2000,Arkansas,Suicide,349
2011,Vermont,CLRD,349
2014,North Dakota,Unintentional injuries,349
1999,Maine,Diabetes,348
2006,New Mexico,Alzheimer's disease,348
2004,Washington,Kidney disease,348
2002,South Dakota,Unintentional injuries,348
2005,Utah,Suicide,348
2010,Utah,Influenza and pneumonia,348
2004,Nebraska,Influenza and pneumonia,347
2003,Kansas,Suicide,347
2013,Idaho,Alzheimer's disease,347
2015,Vermont,Unintentional injuries,346
2007,South Dakota,Alzheimer's disease,346
2013,Rhode Island,Alzheimer's disease,346
2010,Wyoming,Unintentional injuries,346
2002,Alaska,Unintentional injuries,346
2002,Kansas,Suicide,345
2001,Alaska,Unintentional injuries,345
2004,Delaware,CLRD,345
1999,West Virginia,Kidney disease,345
2006,Wyoming,CLRD,345
2006,Nebraska,Influenza and pneumonia,345
2008,Maine,Diabetes,344
2004,Idaho,Diabetes,344
2006,Delaware,CLRD,344
2009,New Mexico,Influenza and pneumonia,344
1999,Vermont,Stroke,344
2004,Idaho,Alzheimer's disease,343
2008,Utah,Influenza and pneumonia,343
2014,Wyoming,CLRD,343
2002,Nevada,Diabetes,343
2002,Mississippi,Suicide,343
2003,New Mexico,Suicide,343
2010,New Mexico,Alzheimer's disease,343
2000,Alaska,Unintentional injuries,343
2012,North Dakota,Stroke,343
2013,Nebraska,Influenza and pneumonia,343
2004,Iowa,Suicide,343
2006,Utah,Influenza and pneumonia,343
2000,Hawaii,Unintentional injuries,343
2006,Maine,Diabetes,343
2000,Vermont,Stroke,343
2016,Nebraska,Influenza and pneumonia,342
2016,Hawaii,CLRD,342
2000,Utah,Alzheimer's disease,342
2011,North Dakota,CLRD,342
2000,Rhode Island,Influenza and pneumonia,342
2008,North Dakota,Unintentional injuries,342
2005,New Mexico,Suicide,342
2008,Vermont,CLRD,341
2009,North Dakota,CLRD,341
2000,Delaware,CLRD,341
2009,Alaska,Unintentional injuries,340
2015,West Virginia,Suicide,340
2002,Utah,Suicide,340
2013,New Mexico,Alzheimer's disease,339
2003,Delaware,CLRD,339
1999,Wyoming,CLRD,338
2010,Rhode Island,Alzheimer's disease,338
2011,Delaware,Unintentional injuries,338
2011,North Dakota,Stroke,337
2013,New Mexico,Influenza and pneumonia,337
2012,Utah,Influenza and pneumonia,337
2008,Kansas,Suicide,337
2009,North Dakota,Stroke,337
1999,Arkansas,Suicide,336
2015,Iowa,Kidney disease,336
2005,Nevada,Diabetes,336
2000,Maine,Influenza and pneumonia,336
2003,Utah,Suicide,336
2003,North Dakota,Alzheimer's disease,336
2003,Mississippi,Suicide,336
2002,Vermont,Stroke,335
2010,Vermont,CLRD,335
1999,South Dakota,CLRD,335
2012,Wyoming,CLRD,334
2005,Rhode Island,Unintentional injuries,334
2006,Iowa,Suicide,334
2003,Idaho,Influenza and pneumonia,334
2009,Delaware,Unintentional injuries,333
2005,Iowa,Suicide,333
2014,Vermont,CLRD,333
2012,Vermont,Unintentional injuries,333
2015,Maine,Influenza and pneumonia,333
2005,Utah,Influenza and pneumonia,333
2009,Utah,Influenza and pneumonia,332
2008,Alaska,Unintentional injuries,332
2010,Wyoming,CLRD,332
2015,Hawaii,CLRD,332
2003,Utah,Alzheimer's disease,332
2001,Oregon,Kidney disease,331
2004,New Hampshire,Alzheimer's disease,331
1999,Nebraska,Alzheimer's disease,331
2007,Idaho,Diabetes,331
2007,Nebraska,Influenza and pneumonia,331
2013,North Dakota,CLRD,331
2013,Connecticut,Suicide,330
2007,North Dakota,Stroke,330
2016,Delaware,Alzheimer's disease,329
1999,New Hampshire,Unintentional injuries,329
2006,Delaware,Unintentional injuries,329
2000,Nevada,Kidney disease,329
2006,South Dakota,Alzheimer's disease,329
2004,New Mexico,Alzheimer's disease,328
2001,Mississippi,Suicide,328
2007,Rhode Island,Alzheimer's disease,328
2005,New Mexico,Alzheimer's disease,327
2000,New Mexico,Suicide,327
2016,Wyoming,CLRD,327
2011,Wyoming,CLRD,327
1999,Delaware,CLRD,327
2003,Maine,Influenza and pneumonia,327
2013,Oregon,Kidney disease,327
2013,North Dakota,Unintentional injuries,326
2012,West Virginia,Suicide,326
2014,Hawaii,Alzheimer's disease,326
2004,Alaska,Unintentional injuries,326
2000,Kansas,Suicide,325
2006,Mississippi,Suicide,325
2002,New Mexico,Alzheimer's disease,325
2008,North Dakota,Stroke,325
2011,Nebraska,Influenza and pneumonia,325
2014,Arizona,Kidney disease,325
2011,Hawaii,Influenza and pneumonia,325
2013,Wyoming,Unintentional injuries,325
2014,North Dakota,Stroke,325
2009,North Dakota,Unintentional injuries,324
2002,Wyoming,CLRD,324
2013,West Virginia,Suicide,323
2010,Iowa,Kidney disease,323
2001,Vermont,Stroke,323
2007,New Mexico,Alzheimer's disease,322
2002,Idaho,Diabetes,322
2015,New Mexico,Influenza and pneumonia,322
2012,Iowa,Kidney disease,322
2001,Nevada,Diabetes,322
2007,Iowa,Suicide,322
2002,North Dakota,CLRD,322
2014,Vermont,Unintentional injuries,322
2000,New Hampshire,Unintentional injuries,321
2015,Montana,Diabetes,321
2009,Rhode Island,Alzheimer's disease,321
2003,Alaska,Unintentional injuries,321
2001,Utah,Suicide,321
2000,South Dakota,Unintentional injuries,321
2006,Vermont,CLRD,320
2006,Idaho,Diabetes,320
2000,Nevada,Influenza and pneumonia,320
2012,Oregon,Kidney disease,320
2014,Idaho,Suicide,320
2011,Rhode Island,Alzheimer's disease,320
2002,Rhode Island,Influenza and pneumonia,319
1999,Nevada,Influenza and pneumonia,319
2012,North Dakota,Unintentional injuries,318
2006,North Dakota,Alzheimer's disease,318
2002,Idaho,Alzheimer's disease,318
2001,Idaho,Diabetes,318
2011,Hawaii,CLRD,318
1999,New Mexico,Suicide,318
2011,Wyoming,Unintentional injuries,317
2002,Maine,Influenza and pneumonia,317
2014,North Dakota,CLRD,317
2009,Connecticut,Suicide,316
2011,Iowa,Kidney disease,316
2015,New Mexico,Kidney disease,316
2015,Nevada,Kidney disease,316
2016,New Hampshire,Diabetes,316
2007,Vermont,CLRD,316
2006,Alaska,Unintentional injuries,316
2011,Oregon,Kidney disease,316
2008,Connecticut,Suicide,315
2016,North Dakota,CLRD,314
2002,Iowa,Suicide,314
2016,Montana,Alzheimer's disease,314
2001,Utah,Alzheimer's disease,314
1999,West Virginia,Alzheimer's disease,314
2014,Hawaii,CLRD,313
2007,Utah,Influenza and pneumonia,313
2000,Iowa,Kidney disease,313
2004,North Dakota,Alzheimer's disease,313
2004,New Hampshire,Diabetes,313
2005,Alaska,Unintentional injuries,313
2014,Iowa,Kidney disease,313
2007,Nevada,Diabetes,312
2013,Utah,Kidney disease,312
2009,Nevada,Alzheimer's disease,312
2012,Hawaii,CLRD,312
2008,North Dakota,Alzheimer's disease,312
2000,Vermont,CLRD,312
1999,Colorado,Kidney disease,312
2008,Wyoming,CLRD,311
2016,North Dakota,Stroke,311
2002,New Hampshire,Diabetes,311
2002,New Hampshire,Alzheimer's disease,311
2016,Montana,Diabetes,311
2016,Vermont,Alzheimer's disease,310
2005,New Hampshire,Diabetes,310
2005,Nevada,Alzheimer's disease,310
2009,Wyoming,CLRD,310
2013,New Hampshire,Diabetes,310
2003,Nevada,Alzheimer's disease,309
2007,Delaware,Unintentional injuries,309
2004,Wyoming,CLRD,308
2015,North Dakota,Stroke,308
2001,North Dakota,CLRD,308
2009,Hawaii,Diabetes,308
2009,Vermont,Unintentional injuries,308
2013,Idaho,Suicide,308
2004,Maine,Influenza and pneumonia,308
2015,New Hampshire,Diabetes,308
2004,Oregon,Kidney disease,308
2004,New Mexico,Influenza and pneumonia,308
2012,Wyoming,Unintentional injuries,308
2015,Vermont,Stroke,307
2004,Hawaii,CLRD,307
2013,North Dakota,Stroke,306
2002,Washington,Kidney disease,306
2001,Delaware,CLRD,306
2003,Vermont,Stroke,306
2011,West Virginia,Suicide,306
2008,Vermont,Unintentional injuries,306
2003,Oregon,Kidney disease,306
2012,North Dakota,CLRD,306
2006,Wyoming,Unintentional injuries,306
1999,Iowa,Suicide,305
2001,New Hampshire,Alzheimer's disease,305
2001,Vermont,CLRD,305
2001,Iowa,Suicide,304
2009,Idaho,Suicide,304
2003,Washington,Kidney disease,304
1999,Mississippi,Suicide,304
2000,Connecticut,Suicide,304
2008,Iowa,Kidney disease,304
2000,Idaho,Diabetes,304
2009,Hawaii,CLRD,303
2003,Rhode Island,Alzheimer's disease,303
2002,Utah,Alzheimer's disease,303
2007,Vermont,Unintentional injuries,303
2005,Wyoming,Unintentional injuries,302
2003,North Dakota,CLRD,302
2011,Maine,Influenza and pneumonia,302
2004,Vermont,Stroke,302
2010,Montana,Alzheimer's disease,302
2013,New Mexico,Kidney disease,302
2009,Iowa,Kidney disease,302
2003,Nebraska,Kidney disease,302
2006,Vermont,Unintentional injuries,301
2011,Vermont,Unintentional injuries,301
2003,Vermont,CLRD,301
2003,Nevada,Diabetes,301
2003,New Hampshire,Diabetes,300
1999,Vermont,CLRD,300
1999,Rhode Island,Influenza and pneumonia,300
2007,West Virginia,Suicide,300
2014,New Hampshire,Diabetes,300
2007,Hawaii,CLRD,299
2007,Wyoming,Unintentional injuries,299
2005,Idaho,Diabetes,299
2009,Wyoming,Unintentional injuries,299
2012,Rhode Island,Alzheimer's disease,299
1999,Kansas,Suicide,299
2004,Rhode Island,Unintentional injuries,298
1999,Nevada,Kidney disease,298
2005,Rhode Island,Alzheimer's disease,298
2011,North Dakota,Unintentional injuries,298
2007,New Mexico,Influenza and pneumonia,298
2015,Vermont,Alzheimer's disease,298
2000,Utah,Suicide,298
2010,Vermont,Unintentional injuries,298
2000,New Hampshire,Diabetes,297
2012,Idaho,Suicide,297
2001,New Mexico,Alzheimer's disease,297
2008,New Hampshire,Diabetes,297
1999,District of Columbia,Stroke,297
2006,Rhode Island,Alzheimer's disease,297
2001,Nebraska,Influenza and pneumonia,296
2010,Nevada,Alzheimer's disease,296
2010,Hawaii,CLRD,296
2004,Vermont,CLRD,296
2006,New Hampshire,Diabetes,296
2005,Oregon,Kidney disease,295
2000,North Dakota,CLRD,295
2005,Connecticut,Suicide,295
2001,Rhode Island,Influenza and pneumonia,295
2007,Wyoming,CLRD,295
2000,Oregon,Kidney disease,295
2008,Montana,Alzheimer's disease,294
1999,Alaska,Unintentional injuries,294
2006,Nevada,Diabetes,294
2010,New Mexico,Influenza and pneumonia,294
2004,Connecticut,Suicide,294
2002,North Dakota,Alzheimer's disease,294
2001,Idaho,Alzheimer's disease,294
2004,Delaware,Unintentional injuries,294
2000,Mississippi,Suicide,294
1999,New Hampshire,Diabetes,294
2005,Delaware,Unintentional injuries,293
2001,Kansas,Suicide,293
2001,Rhode Island,Unintentional injuries,293
2000,Washington,Kidney disease,293
2006,Hawaii,CLRD,293
1999,Hawaii,Unintentional injuries,293
2016,New Mexico,Kidney disease,293
2008,Hawaii,CLRD,293
2002,Delaware,Unintentional injuries,292
2006,Connecticut,Suicide,292
2000,Rhode Island,Diabetes,292
2004,Nevada,Alzheimer's disease,292
2001,New Hampshire,Diabetes,291
2009,Hawaii,Influenza and pneumonia,291
2007,Hawaii,Diabetes,291
2012,Nebraska,Influenza and pneumonia,291
2005,Wyoming,CLRD,291
2000,Delaware,Unintentional injuries,290
2010,Nebraska,Kidney disease,290
2000,New Mexico,Influenza and pneumonia,290
2004,Nevada,Diabetes,290
2005,South Dakota,Alzheimer's disease,290
2001,Delaware,Unintentional injuries,290
2010,Idaho,Suicide,290
1999,Hawaii,CLRD,290
2000,Iowa,Suicide,289
2002,Wyoming,Unintentional injuries,289
2010,Hawaii,Influenza and pneumonia,289
2005,Idaho,Influenza and pneumonia,289
1999,Idaho,Influenza and pneumonia,289
2001,Nebraska,Kidney disease,289
2000,Idaho,Influenza and pneumonia,288
2003,Delaware,Unintentional injuries,287
2008,New Mexico,Kidney disease,287
1999,Maine,Influenza and pneumonia,287
2005,North Dakota,Alzheimer's disease,287
2005,North Dakota,Unintentional injuries,287
2003,Hawaii,CLRD,287
2005,Hawaii,CLRD,287
2003,New Hampshire,Alzheimer's disease,286
1999,Nevada,Diabetes,286
2008,Hawaii,Diabetes,286
2001,West Virginia,Suicide,286
2016,Hawaii,Diabetes,285
2010,North Dakota,Unintentional injuries,285
2012,New Mexico,Kidney disease,285
2004,West Virginia,Suicide,285
2005,Montana,Diabetes,285
2002,Montana,Alzheimer's disease,285
2012,Vermont,Alzheimer's disease,284
2001,Connecticut,Suicide,283
2006,North Dakota,CLRD,283
2004,Rhode Island,Alzheimer's disease,283
2000,Wyoming,CLRD,283
2004,Nebraska,Kidney disease,283
2005,Rhode Island,Diabetes,282
1999,Utah,Suicide,282
2015,South Dakota,Diabetes,282
2003,North Dakota,Unintentional injuries,282
2012,New Mexico,Influenza and pneumonia,281
2006,Nevada,Alzheimer's disease,281
2011,Idaho,Suicide,281
2012,Vermont,Stroke,281
2008,Vermont,Stroke,281
2004,Rhode Island,Diabetes,280
2001,Hawaii,CLRD,280
2007,New Hampshire,Diabetes,280
2011,New Hampshire,Diabetes,280
2001,Washington,Kidney disease,279
2002,District of Columbia,Stroke,279
2007,North Dakota,Unintentional injuries,279
2008,Nevada,Alzheimer's disease,279
2010,West Virginia,Suicide,279
2013,Hawaii,CLRD,279
2003,Wyoming,CLRD,278
1999,Washington,Kidney disease,278
2000,Hawaii,CLRD,278
2015,Montana,Alzheimer's disease,277
2002,Nebraska,Kidney disease,277
2012,Hawaii,Diabetes,277
2002,Rhode Island,Unintentional injuries,277
2002,Vermont,CLRD,276
2002,West Virginia,Suicide,276
2010,New Mexico,Kidney disease,276
2000,Nevada,Diabetes,276
2009,New Hampshire,Diabetes,276
2014,Hawaii,Diabetes,276
2015,Rhode Island,Diabetes,276
2015,New Hampshire,Influenza and pneumonia,275
2006,North Dakota,Unintentional injuries,275
2012,New Hampshire,Diabetes,275
2000,New Mexico,Alzheimer's disease,275
2004,North Dakota,Unintentional injuries,274
1999,Connecticut,Suicide,274
2009,New Mexico,Kidney disease,274
2016,Nevada,Kidney disease,274
1999,North Dakota,CLRD,273
2005,New Hampshire,Influenza and pneumonia,273
2003,Wyoming,Unintentional injuries,273
2004,North Dakota,CLRD,273
2000,New Hampshire,Alzheimer's disease,273
2005,Vermont,Unintentional injuries,272
2007,Iowa,Kidney disease,272
2005,North Dakota,CLRD,272
2010,Maine,Kidney disease,272
2001,Wyoming,Unintentional injuries,272
2015,Montana,Suicide,272
2003,Connecticut,Suicide,272
2009,Maine,Kidney disease,272
2010,Hawaii,Diabetes,272
2013,Hawaii,Diabetes,271
2006,Hawaii,Diabetes,271
2004,New Hampshire,Influenza and pneumonia,271
2007,Connecticut,Suicide,271
2008,Nebraska,Kidney disease,270
2012,Utah,Kidney disease,270
2008,Hawaii,Influenza and pneumonia,270
2001,Wyoming,CLRD,270
2001,Maine,Influenza and pneumonia,269
2013,Vermont,Alzheimer's disease,269
2007,Nebraska,Kidney disease,269
2007,Maine,Kidney disease,269
2006,West Virginia,Suicide,269
2006,Maine,Influenza and pneumonia,269
2007,Vermont,Stroke,269
2006,Rhode Island,Influenza and pneumonia,268
2011,New Mexico,Kidney disease,268
1999,Idaho,Diabetes,267
2003,Rhode Island,Influenza and pneumonia,267
2013,Montana,Alzheimer's disease,267
2016,Montana,Suicide,267
1999,Delaware,Unintentional injuries,267
1999,North Dakota,Unintentional injuries,267
2005,Montana,Alzheimer's disease,267
2014,New Mexico,Kidney disease,267
2002,Oregon,Kidney disease,266
2014,Vermont,Stroke,266
2004,Iowa,Kidney disease,266
2003,West Virginia,Suicide,266
2014,Vermont,Alzheimer's disease,266
1999,New Hampshire,Alzheimer's disease,266
2009,Nebraska,Influenza and pneumonia,266
2010,Nebraska,Influenza and pneumonia,266
2001,District of Columbia,Stroke,265
2014,Nebraska,Kidney disease,265
1999,Wyoming,Stroke,265
2002,Hawaii,CLRD,265
2010,Vermont,Stroke,265
2015,District of Columbia,Unintentional injuries,265
2001,Rhode Island,Diabetes,265
2002,Idaho,Influenza and pneumonia,265
2003,Maine,Kidney disease,265
2012,Montana,Alzheimer's disease,265
2007,North Dakota,CLRD,265
2004,Maine,Kidney disease,264
2015,Delaware,Alzheimer's disease,264
2002,Rhode Island,Alzheimer's disease,264
1999,South Dakota,Influenza and pneumonia,264
2011,Hawaii,Diabetes,264
2015,Nebraska,Kidney disease,264
2006,Vermont,Stroke,264
2002,Rhode Island,Diabetes,263
2011,South Dakota,Diabetes,263
2015,Hawaii,Diabetes,263
2010,Utah,Kidney disease,263
2008,Maine,Influenza and pneumonia,263
2008,Maine,Kidney disease,263
2000,Idaho,Alzheimer's disease,262
2006,South Dakota,Diabetes,262
2006,New Mexico,Kidney disease,262
2008,West Virginia,Suicide,261
2003,Montana,Diabetes,261
2002,Iowa,Kidney disease,261
1999,Oregon,Kidney disease,260
2002,Connecticut,Suicide,260
2007,Montana,Alzheimer's disease,260
2013,Vermont,Stroke,260
2005,Vermont,Stroke,260
2004,Rhode Island,Influenza and pneumonia,260
2001,Wyoming,Stroke,260
2000,Wyoming,Stroke,260
